user_id,exercise1,exercise2,exercise3,date,time,user_mbti
a35,농구,마라톤,볼링,"화, 목, 금","오전, 오후, 저녁",ENFJ
a36,골프/스크린골프,농구,필라테스,목,늦은 오후,ESFP
a37,크로스핏,발야구,탁구,"월, 화, 수","오후, 밤",ENTP
a38,발야구,주짓수,러닝,"화, 목, 금, 토, 일","늦은 오후, 저녁",ESFP
a39,크로스핏,등산,보드,"월, 목, 금, 일","오전, 늦은 오후, 밤",ESTJ
a40,스키,배드민턴,배구,"월, 수, 토","오전, 오후",INTP
a41,수영,등산,마라톤,"금, 토","오후, 늦은 오후, 저녁",INFP
a42,인라인스케이트,볼링,주짓수,일,"이른 오전, 오전, 저녁, 밤",INTP
a43,서핑,태권도,풋살,화,이른 오전,ENFP
a44,크로스핏,스노보드,스쿼시,"월, 화, 수, 목, 일","오전, 오후, 늦은 오후",ESTJ
a45,요가,마라톤,풋살,월,"이른 오전, 오전, 늦은 오후, 밤",ESTP
a46,러닝,서핑,스키,금,"이른 오전, 오전, 오후, 늦은 오후, 저녁, 밤",INFP
a47,풋살,골프/스크린골프,인라인스케이트,"수, 일","이른 오전, 오전, 오후, 늦은 오후, 밤",ESTP
a48,클라이밍,탁구,배드민턴,"월, 화, 수, 금, 토, 일","이른 오전, 오전, 오후, 늦은 오후, 저녁",ESTP
a49,등산,배드민턴,서핑,"월, 화, 수, 금, 토","이른 오전, 오전, 오후, 늦은 오후, 저녁, 밤",ISFJ
a50,서핑,풋살,필라테스,"월, 화, 수, 목, 금, 토, 일","이른 오전, 늦은 오후",ESFP
a51,테니스,사이클,풋살,일,"이른 오전, 오후, 늦은 오후, 밤",INFJ
a52,주짓수,야구,스키,"목, 토","이른 오전, 오전, 오후, 늦은 오후, 저녁, 밤",ENFP
a53,스노보드,배구,스쿼시,"월, 토","이른 오전, 오후, 늦은 오후, 밤",ISTJ
a54,사이클,무에타이,스노보드,"화, 일","이른 오전, 오전, 늦은 오후, 밤",ESFJ
a55,야구,주짓수,아이스스케이트,"월, 수, 목, 금, 토","이른 오전, 오전, 오후, 늦은 오후, 저녁, 밤",INFP
a56,사이클,요가,야구,"월, 화, 수, 목, 금, 토, 일","이른 오전, 오후, 저녁",ISTJ
a57,풋살,마라톤,골프/스크린골프,"월, 수, 목","오전, 오후, 저녁",ESFP
a58,풋살,유도,러닝,"수, 토","이른 오전, 오후, 밤",ESFJ
a59,수영,축구,스키,"화, 목, 금, 일","이른 오전, 저녁",ENFJ
a60,수영,크로스핏,주짓수,"월, 화, 수, 금, 토, 일","이른 오전, 늦은 오후, 저녁, 밤",INFJ
a61,보드,아이스스케이트,러닝,"화, 수, 일","이른 오전, 오전, 오후, 늦은 오후, 저녁",ENFP
a62,주짓수,서핑,클라이밍,목,"오전, 오후, 밤",INFP
a63,클라이밍,태권도,크로스핏,"목, 금, 토, 일",이른 오전,INTP
a64,발야구,필라테스,마라톤,"목, 금, 일","이른 오전, 오전, 오후, 저녁, 밤",ENFP
a65,농구,볼링,등산,"수, 목",저녁,ESTJ
a66,서핑,피구,무에타이,"월, 화, 수, 목, 토, 일",오전,ESFP
a67,볼링,아이스스케이트,마라톤,"월, 화, 수, 목, 금, 일","오후, 늦은 오후, 밤",ESFJ
a68,헬스,주짓수,스노보드,"월, 목, 금","이른 오전, 오전, 오후, 저녁, 밤",INTP
a69,수영,스노보드,복싱,일,오전,ISFP
a70,등산,농구,클라이밍,"월, 화, 수, 목, 토, 일",오후,ENFJ
a71,풋살,클라이밍,야구,"월, 화, 수, 목, 금, 일","이른 오전, 오후, 늦은 오후, 저녁, 밤",ENFJ
a72,골프/스크린골프,야구,탁구,"수, 목, 토, 일",오후,ENTJ
a73,족구,아이스스케이트,서핑,"월, 화, 금, 토, 일","이른 오전, 오전, 오후, 늦은 오후, 저녁, 밤",ISTP
a74,사이클,러닝,클라이밍,"월, 화, 수, 목, 금, 토, 일","이른 오전, 오전, 오후",ISTP
a75,탁구,무에타이,테니스,"화, 목, 금","이른 오전, 오전, 오후, 늦은 오후, 밤",INFP
a76,수영,클라이밍,축구,수,"이른 오전, 늦은 오후",INFP
a77,농구,발야구,아이스스케이트,"월, 화, 수, 목, 금, 일","이른 오전, 오전, 오후",ENTP
a78,주짓수,야구,탁구,"수, 목, 금, 토, 일","이른 오전, 늦은 오후, 밤",ISFP
a79,복싱,배드민턴,볼링,"월, 토, 일","이른 오전, 오전, 저녁",ESTJ
a80,농구,무에타이,마라톤,"월, 화, 수, 토","오전, 늦은 오후, 저녁, 밤",ESFJ
a81,수영,농구,무에타이,"월, 화, 수, 목, 금, 토, 일","오전, 오후, 늦은 오후, 저녁, 밤",ISFJ
a82,스노보드,피구,골프/스크린골프,"월, 화, 금, 토","오전, 오후, 밤",ENFP
a83,스쿼시,피구,테니스,"월, 수, 목, 금, 토, 일","이른 오전, 오전, 오후, 늦은 오후, 저녁, 밤",ESFJ
a84,탁구,태권도,농구,"월, 화, 수, 목, 금, 토, 일",오후,ENTP
a85,무에타이,헬스,스노보드,"화, 금, 일","이른 오전, 오전, 오후",ESFJ
a86,무에타이,태권도,서핑,"월, 화, 수, 목, 금, 토, 일","이른 오전, 오전, 오후, 늦은 오후, 저녁, 밤",ENTP
a87,야구,사이클,주짓수,"월, 화, 목","오전, 오후, 저녁, 밤",INTJ
a88,무에타이,수영,러닝,"월, 수, 금, 토, 일","오전, 오후, 늦은 오후",ESFP
a89,족구,축구,탁구,"월, 화, 수, 목, 금, 토, 일",늦은 오후,ENTJ
a90,사이클,요가,풋살,"월, 화, 목, 금, 토, 일","이른 오전, 오전, 오후, 늦은 오후, 저녁",ENTJ
a91,등산,풋살,스노보드,금,"이른 오전, 오전, 밤",ENTP
a92,골프/스크린골프,인라인스케이트,유도,"월, 화, 수, 목, 토, 일",늦은 오후,ESFJ
a93,스쿼시,풋살,사이클,일,"이른 오전, 오전",INFP
a94,등산,헬스,족구,화,"이른 오전, 오전, 늦은 오후, 저녁, 밤",ENFP
a95,골프/스크린골프,인라인스케이트,야구,"월, 수, 목, 금, 일","이른 오전, 오후, 밤",INTP
a96,배드민턴,배구,러닝,"월, 화, 수, 목, 금","오전, 늦은 오후",ESTP
a97,유도,크로스핏,인라인스케이트,수,"오전, 저녁",ESFJ
a98,풋살,족구,필라테스,일,"이른 오전, 오후, 늦은 오후, 저녁, 밤",ESFP
a99,인라인스케이트,복싱,피구,"월, 목, 금, 토","이른 오전, 오전, 오후, 늦은 오후, 저녁, 밤",ENFJ
a100,사이클,탁구,스쿼시,"화, 수, 목, 금, 토, 일","이른 오전, 오후, 늦은 오후, 저녁",ENTP
a101,농구,볼링,헬스,"월, 화, 수, 목, 금, 토, 일","오전, 오후, 늦은 오후, 저녁, 밤",ESTP
a102,러닝,크로스핏,무에타이,"월, 화, 수, 목","오후, 밤",INTJ
a103,러닝,족구,골프/스크린골프,"월, 화, 수, 목, 금, 토, 일","이른 오전, 오전, 늦은 오후, 저녁, 밤",ESFP
a104,러닝,아이스스케이트,골프/스크린골프,"수, 목, 토","오전, 늦은 오후, 밤",INFJ
a105,배드민턴,족구,인라인스케이트,"화, 수","이른 오전, 오후, 늦은 오후, 저녁, 밤",INTJ
a106,인라인스케이트,필라테스,축구,"금, 일","이른 오전, 오전, 오후, 늦은 오후, 저녁, 밤",ESFP
a107,볼링,무에타이,인라인스케이트,"화, 토, 일",저녁,ESTJ
a108,발야구,요가,골프/스크린골프,"토, 일","이른 오전, 오전, 오후, 늦은 오후, 저녁, 밤",INTJ
a109,골프/스크린골프,크로스핏,볼링,"화, 수, 금, 일","이른 오전, 오전, 오후, 늦은 오후, 저녁, 밤",INFP
a110,풋살,클라이밍,탁구,"월, 화, 수, 금, 토, 일","이른 오전, 오전, 오후, 늦은 오후, 저녁, 밤",ENFP
a111,마라톤,태권도,골프/스크린골프,"월, 목, 금, 일","이른 오전, 오전, 오후, 늦은 오후, 저녁, 밤",ESTP
a112,발야구,풋살,복싱,"월, 화, 수, 목, 금, 토, 일","오전, 오후, 늦은 오후, 저녁, 밤",ESFJ
a113,피구,풋살,스노보드,"화, 수, 목","늦은 오후, 저녁, 밤",ENFP
a114,배드민턴,주짓수,농구,"화, 수, 토","이른 오전, 오후, 늦은 오후, 저녁, 밤",ISFP
a115,수영,마라톤,요가,목,"오전, 오후, 저녁, 밤",ESTJ
a116,등산,배드민턴,주짓수,"월, 화, 수, 금, 토, 일","이른 오전, 오전, 오후, 늦은 오후, 저녁, 밤",ISFJ
a117,스노보드,요가,풋살,"월, 수, 금, 토, 일","이른 오전, 오후, 저녁, 밤",ISFP
a118,탁구,풋살,볼링,"화, 목, 금","오후, 늦은 오후, 저녁, 밤",ENTP
a119,사이클,배구,피구,"목, 토",늦은 오후,ESTP
a120,크로스핏,유도,야구,"월, 일","늦은 오후, 저녁",ISFJ
a121,농구,요가,테니스,"월, 화","오후, 늦은 오후, 저녁, 밤",ESFJ
a122,인라인스케이트,축구,무에타이,"월, 목, 토, 일",늦은 오후,INFJ
a123,스쿼시,볼링,테니스,"화, 수","저녁, 밤",ENFP
a124,복싱,족구,주짓수,"월, 수, 목","이른 오전, 오전, 오후, 늦은 오후, 저녁, 밤",ISTJ
a125,볼링,인라인스케이트,마라톤,"화, 수, 목","이른 오전, 오전, 오후, 늦은 오후, 저녁, 밤",ENFP
a126,주짓수,러닝,필라테스,"화, 수, 목, 금, 토, 일","이른 오전, 저녁",ISTP
a127,스노보드,서핑,족구,"월, 화, 수, 목, 금, 토, 일","이른 오전, 오전, 저녁, 밤",ESFJ
a128,요가,서핑,농구,"월, 화, 금, 일","이른 오전, 오전, 저녁, 밤",INTP
a129,필라테스,테니스,크로스핏,"월, 화, 수, 목, 금, 토, 일",밤,ENFP
a130,볼링,아이스스케이트,테니스,"목, 금, 일","오전, 늦은 오후, 저녁",ISTP
a131,주짓수,무에타이,발야구,"수, 목, 토","이른 오전, 오전, 오후, 늦은 오후, 저녁",INTP
a132,마라톤,인라인스케이트,스키,"월, 수, 금, 토, 일","오전, 오후, 늦은 오후, 저녁, 밤",INTP
a133,클라이밍,배구,수영,"화, 일","이른 오전, 오후, 늦은 오후",INFJ
a134,인라인스케이트,무에타이,보드,"수, 목, 금","이른 오전, 오전, 늦은 오후, 저녁",INFJ
a135,등산,요가,복싱,"월, 화, 수, 목, 토, 일",이른 오전,ISFJ
a136,보드,축구,필라테스,"월, 화, 목, 금, 토, 일",오전,ESTP
a137,사이클,무에타이,골프/스크린골프,목,이른 오전,ENFJ
a138,러닝,서핑,클라이밍,"월, 수, 목, 금, 토","늦은 오후, 저녁, 밤",INTP
a139,수영,등산,태권도,금,"이른 오전, 오전, 오후, 늦은 오후, 저녁, 밤",INTP
a140,사이클,볼링,보드,"화, 수, 목, 토","오전, 오후, 늦은 오후, 저녁",INTP
a141,서핑,복싱,축구,"월, 화, 수, 토","이른 오전, 오후, 늦은 오후, 저녁, 밤",ESTJ
a142,족구,탁구,배드민턴,"월, 목, 일","이른 오전, 오전, 오후, 늦은 오후, 저녁, 밤",ESFP
a143,크로스핏,유도,피구,"월, 화, 수, 목, 금, 토","이른 오전, 오전, 오후, 늦은 오후, 저녁, 밤",ISTP
a144,사이클,인라인스케이트,복싱,"월, 화, 목, 토","오후, 늦은 오후",ISTJ
a145,발야구,마라톤,피구,"월, 화, 목, 토, 일",오후,ISTJ
a146,무에타이,스노보드,태권도,"월, 화, 수, 목, 금, 토, 일","이른 오전, 오후, 늦은 오후, 저녁, 밤",ISTP
a147,서핑,배구,스노보드,화,"오전, 오후, 늦은 오후, 저녁, 밤",ESTJ
a148,발야구,러닝,탁구,"월, 화, 수, 목, 금, 토, 일","이른 오전, 늦은 오후, 밤",INTJ
a149,헬스,요가,테니스,"월, 수, 토","이른 오전, 오후, 저녁",ENFJ
a150,수영,아이스스케이트,주짓수,"월, 화, 수, 목, 토",오전,ISTJ
a151,피구,아이스스케이트,배구,"월, 화, 수, 목, 금, 토, 일",이른 오전,ISFP
a152,보드,요가,테니스,"월, 수, 금, 일",오후,ISTJ
a153,수영,서핑,아이스스케이트,"월, 화, 수, 목, 토",오후,ISTP
a154,유도,스노보드,필라테스,"월, 화, 수, 목, 금, 일","오후, 늦은 오후, 밤",ISTJ
a155,러닝,클라이밍,서핑,"화, 금","이른 오전, 오전, 오후, 늦은 오후, 저녁, 밤",ENTP
a156,볼링,배구,마라톤,"월, 화, 수, 목, 토, 일","늦은 오후, 밤",INTJ
a157,크로스핏,서핑,발야구,"월, 화, 수, 목, 금, 토, 일","오전, 오후, 늦은 오후",INTJ
a158,복싱,탁구,배구,일,이른 오전,ESTJ
a159,테니스,태권도,마라톤,"월, 화, 수, 목, 금, 토","오전, 오후, 저녁",INFJ
a160,필라테스,스키,탁구,"월, 화, 수, 목","이른 오전, 오전, 오후, 늦은 오후, 저녁, 밤",ISTJ
a161,풋살,탁구,배드민턴,"월, 수, 목, 금, 토, 일","오전, 오후, 늦은 오후, 저녁",ENFJ
a162,아이스스케이트,탁구,스쿼시,"월, 금","오전, 오후, 늦은 오후",INTJ
a163,수영,탁구,테니스,"월, 화, 수, 목, 토","이른 오전, 밤",ISTJ
a164,스쿼시,스키,보드,수,"이른 오전, 오전, 오후, 밤",INFP
a165,스쿼시,러닝,서핑,"월, 화, 수, 목, 금, 토, 일","이른 오전, 오전, 저녁, 밤",ESTJ
a166,클라이밍,아이스스케이트,요가,"월, 화, 목, 금, 토, 일","오후, 저녁, 밤",INFJ
a167,인라인스케이트,태권도,피구,"월, 화, 수, 목, 금, 토, 일","늦은 오후, 밤",ESFP
a168,인라인스케이트,피구,사이클,"월, 화, 수, 목, 금, 토, 일","이른 오전, 오전, 오후, 저녁",ENTP
a169,피구,족구,필라테스,"월, 화, 수, 목, 금, 토, 일","이른 오전, 오전, 오후, 늦은 오후, 저녁, 밤",ENFJ
a170,헬스,무에타이,스키,"월, 화, 수, 목, 금, 토, 일",늦은 오후,INFP
a171,사이클,탁구,마라톤,"월, 수, 목, 금, 토","이른 오전, 오전, 오후, 늦은 오후, 저녁, 밤",INFP
a172,사이클,유도,등산,"화, 수, 토, 일","이른 오전, 오전, 오후, 늦은 오후, 저녁, 밤",ISFP
a173,테니스,골프/스크린골프,크로스핏,토,"오전, 오후, 저녁, 밤",INTP
a174,태권도,클라이밍,사이클,"목, 일","이른 오전, 오전, 오후, 늦은 오후, 저녁, 밤",ISFJ
a175,무에타이,사이클,축구,수,이른 오전,ESTJ
a176,필라테스,태권도,등산,"월, 수","이른 오전, 밤",ESFP
a177,발야구,사이클,수영,"월, 수, 목, 금, 일","이른 오전, 오전, 오후, 늦은 오후",ENFJ
a178,족구,사이클,축구,"목, 일","이른 오전, 오전, 오후, 늦은 오후, 저녁, 밤",ENFJ
a179,스노보드,서핑,수영,토,"이른 오전, 밤",INFJ
a180,태권도,크로스핏,헬스,화,저녁,ENTJ
a181,서핑,족구,배구,"월, 화, 금, 토, 일","이른 오전, 오전, 오후, 늦은 오후, 저녁",ESFJ
a182,발야구,스키,요가,월,"오전, 오후, 늦은 오후, 저녁, 밤",ESFJ
a183,서핑,스쿼시,러닝,"월, 토","이른 오전, 오후",ESFJ
a184,인라인스케이트,풋살,헬스,"월, 화, 수, 목, 금, 일",늦은 오후,ENTP
a185,피구,등산,마라톤,"화, 수, 목, 금, 일","오전, 저녁",ISFJ
a186,볼링,요가,등산,"화, 수, 목, 금, 토, 일","오후, 밤",INFP
a187,탁구,유도,풋살,"화, 수, 목, 금, 토, 일","이른 오전, 오전, 오후, 늦은 오후, 저녁, 밤",ISFP
a188,테니스,피구,야구,"월, 목","오후, 밤",ISFJ
a189,볼링,배드민턴,요가,"토, 일","이른 오전, 밤",INTP
a190,스노보드,무에타이,등산,목,밤,ENFP
a191,서핑,배구,수영,화,늦은 오후,ESTP
a192,아이스스케이트,보드,볼링,"화, 일","이른 오전, 오전, 오후, 늦은 오후",ENFP
a193,농구,러닝,필라테스,"월, 화, 목, 토, 일","오후, 늦은 오후, 저녁, 밤",INTP
a194,사이클,무에타이,인라인스케이트,"화, 수, 토, 일","오전, 오후, 늦은 오후, 저녁, 밤",ISTP
a195,크로스핏,배드민턴,등산,"월, 화, 수, 목, 금, 토","이른 오전, 오전, 오후, 늦은 오후",ESFP
a196,인라인스케이트,축구,주짓수,"월, 수, 목, 금, 토","이른 오전, 오전, 오후, 늦은 오후, 저녁, 밤",INFJ
a197,유도,클라이밍,사이클,"월, 화, 수, 목, 금, 토, 일","이른 오전, 오전, 오후, 늦은 오후, 저녁, 밤",ESFP
a198,헬스,수영,풋살,"월, 수, 일","이른 오전, 오전, 오후, 늦은 오후, 저녁",ISTJ
a199,헬스,풋살,축구,"화, 수, 목, 토, 일","이른 오전, 오후, 늦은 오후, 밤",ENFP
a200,족구,인라인스케이트,야구,"월, 수, 목, 일","이른 오전, 늦은 오후, 저녁, 밤",INFP
a201,배구,러닝,수영,"월, 수, 목, 일","이른 오전, 오후",ISTP
a202,유도,풋살,수영,"월, 화, 금, 토","이른 오전, 오전, 오후, 저녁, 밤",INFJ
a203,유도,수영,요가,목,"이른 오전, 늦은 오후, 저녁, 밤",INTJ
a204,골프/스크린골프,테니스,수영,"화, 토","이른 오전, 늦은 오후",INFP
a205,서핑,탁구,발야구,"월, 화, 일","이른 오전, 오전, 오후, 늦은 오후, 저녁",ESFP
a206,테니스,수영,등산,"월, 화, 수, 목, 금, 토, 일","오후, 늦은 오후, 밤",ESTJ
a207,야구,스쿼시,사이클,"월, 목, 금, 일","늦은 오후, 저녁, 밤",ENTP
a208,헬스,사이클,스노보드,"월, 화, 수, 목, 금, 토","이른 오전, 늦은 오후",INTJ
a209,크로스핏,유도,아이스스케이트,"월, 수, 금, 토, 일",밤,ESTP
a210,스키,배구,볼링,"월, 화, 수, 목, 금, 일","이른 오전, 오전, 오후",ENFJ
a211,수영,요가,러닝,"월, 화, 수, 토, 일","이른 오전, 오전, 오후, 늦은 오후, 저녁, 밤",ESTP
a212,헬스,축구,인라인스케이트,"월, 목, 토","이른 오전, 오전, 오후, 늦은 오후, 저녁, 밤",ISTJ
a213,피구,유도,마라톤,"월, 화, 수, 금, 토",오전,ENFP
a214,배드민턴,수영,크로스핏,"화, 목, 일","오후, 늦은 오후, 밤",ISFJ
a215,마라톤,헬스,주짓수,"화, 수, 목, 금, 토, 일","이른 오전, 오전, 늦은 오후, 밤",ESFJ
a216,유도,피구,수영,"수, 금","이른 오전, 오후, 저녁",ENFP
a217,보드,배드민턴,복싱,"수, 토","오전, 오후, 늦은 오후, 저녁, 밤",ESFP
a218,필라테스,등산,인라인스케이트,"월, 금","오전, 늦은 오후, 저녁",ESFP
a219,등산,족구,클라이밍,"월, 수","오후, 늦은 오후, 저녁",ENTP
a220,보드,스노보드,볼링,"월, 수, 금, 토, 일",오후,INFP
a221,수영,복싱,크로스핏,"월, 화, 수, 목, 금, 토, 일","오전, 오후, 저녁",INTP
a222,보드,요가,피구,금,"오전, 오후, 늦은 오후, 저녁, 밤",INTP
a223,유도,테니스,탁구,"월, 화, 수, 목, 토, 일","이른 오전, 오전, 오후, 늦은 오후, 저녁, 밤",ESTJ
a224,주짓수,발야구,필라테스,월,오전,ISFJ
a225,필라테스,풋살,헬스,"월, 화, 수",밤,ISFJ
a226,러닝,보드,야구,"월, 화, 목, 금, 토, 일","이른 오전, 오후, 늦은 오후, 저녁",INFJ
a227,피구,필라테스,보드,"월, 화, 수, 목, 일","이른 오전, 오전, 오후, 저녁",ESTP
a228,필라테스,스노보드,유도,"목, 금, 토, 일","이른 오전, 오후, 늦은 오후, 저녁, 밤",ENFJ
a229,아이스스케이트,요가,볼링,"월, 수, 목, 금, 토","이른 오전, 오전, 오후, 늦은 오후, 저녁, 밤",ISFJ
a230,헬스,아이스스케이트,마라톤,"화, 수, 목, 일","이른 오전, 오전, 늦은 오후, 저녁",ESFJ
a231,등산,크로스핏,무에타이,"월, 화, 수, 목, 금","이른 오전, 오후, 늦은 오후, 저녁, 밤",ISFP
a232,배구,주짓수,마라톤,"월, 화, 수, 금, 토, 일","이른 오전, 오전, 밤",ISTJ
a233,피구,필라테스,무에타이,"월, 금, 토, 일","이른 오전, 오전, 오후, 늦은 오후, 저녁, 밤",ENTJ
a234,마라톤,인라인스케이트,복싱,"월, 수, 금","오후, 늦은 오후",INFP
a235,스쿼시,골프/스크린골프,수영,화,"이른 오전, 오전, 늦은 오후, 저녁, 밤",ENTP
a236,피구,유도,발야구,목,"늦은 오후, 밤",INTP
a237,주짓수,인라인스케이트,무에타이,"월, 화, 수, 목, 금, 토, 일","늦은 오후, 밤",ISTJ
a238,인라인스케이트,농구,발야구,"월, 화, 수, 목, 금, 토, 일","오전, 늦은 오후, 저녁, 밤",ISFP
a239,태권도,피구,인라인스케이트,"월, 수, 목, 금, 토, 일","이른 오전, 오후, 늦은 오후, 저녁",ESFP
a240,필라테스,피구,유도,금,"이른 오전, 늦은 오후",ENFP
a241,사이클,스쿼시,보드,"월, 토",저녁,ISTJ
a242,주짓수,태권도,골프/스크린골프,"월, 목, 금","오전, 늦은 오후",ESTP
a243,아이스스케이트,보드,클라이밍,"화, 수, 목, 금","이른 오전, 오전, 늦은 오후, 저녁",INFJ
a244,스노보드,볼링,피구,"목, 일",늦은 오후,INFJ
a245,유도,피구,스노보드,"화, 수, 목, 금, 토, 일",오전,ISFJ
a246,풋살,배드민턴,농구,"월, 화, 수, 일","이른 오전, 오후, 저녁, 밤",ISFP
a247,야구,사이클,복싱,"월, 화, 수, 목, 토, 일","늦은 오후, 저녁, 밤",ISFJ
a248,배구,배드민턴,주짓수,"월, 화, 수, 목, 금, 토","이른 오전, 늦은 오후",ESTJ
a249,스키,야구,인라인스케이트,"월, 화, 수, 목, 금, 토, 일","이른 오전, 오전, 오후, 늦은 오후, 저녁, 밤",ISFP
a250,헬스,주짓수,스노보드,"월, 화, 수, 목, 금","오전, 오후, 늦은 오후, 저녁, 밤",ESTP
a251,인라인스케이트,무에타이,발야구,"월, 화, 목","이른 오전, 저녁",ISTP
a252,스쿼시,탁구,마라톤,"화, 목","이른 오전, 밤",ESFJ
a253,배구,야구,스노보드,"목, 일","이른 오전, 오전, 오후, 늦은 오후, 밤",ENTP
a254,태권도,수영,테니스,"월, 화, 수, 목, 금, 토, 일","이른 오전, 오전, 늦은 오후",INTJ
a255,헬스,아이스스케이트,농구,"월, 화, 목, 금, 토, 일","오전, 저녁",ESTP
a256,농구,클라이밍,러닝,"월, 화, 수, 목, 금","오후, 늦은 오후, 저녁",ISFP
a257,크로스핏,스노보드,테니스,"월, 화, 수, 금","늦은 오후, 밤",INTJ
a258,서핑,복싱,피구,"목, 토","이른 오전, 오전, 오후, 늦은 오후, 저녁",INFP
a259,헬스,무에타이,필라테스,화,"이른 오전, 늦은 오후, 저녁, 밤",ENTJ
a260,피구,등산,사이클,"월, 화, 수, 목, 금, 토, 일","오전, 늦은 오후, 밤",ENTJ
a261,테니스,야구,등산,"월, 토","이른 오전, 오전, 오후, 늦은 오후, 저녁, 밤",ENTP
a262,족구,수영,야구,"화, 일","오전, 오후, 저녁",ISTJ
a263,보드,배구,배드민턴,"월, 화, 수, 목, 금, 토, 일","이른 오전, 오전, 오후, 밤",ENFP
a264,복싱,요가,유도,"토, 일","이른 오전, 오후, 늦은 오후, 저녁",ISTJ
a265,복싱,볼링,수영,"화, 수, 목, 토","이른 오전, 오전, 오후, 늦은 오후, 저녁, 밤",ISTP
a266,볼링,등산,배구,"월, 화, 수, 금, 일","이른 오전, 오전, 오후, 늦은 오후",INTJ
a267,농구,풋살,복싱,"월, 화, 수, 목, 금, 토, 일","이른 오전, 오후",INTP
a268,주짓수,클라이밍,스쿼시,"월, 화, 목, 토","오전, 늦은 오후, 밤",ENFJ
a269,스노보드,서핑,야구,"월, 수, 금, 토","늦은 오후, 밤",ENFJ
a270,클라이밍,스노보드,농구,"월, 화, 수, 목, 금, 토, 일",오전,ESTJ
a271,태권도,헬스,아이스스케이트,"화, 수, 목, 일","이른 오전, 늦은 오후, 저녁, 밤",ENTJ
a272,골프/스크린골프,볼링,피구,수,오후,ESTJ
a273,테니스,스쿼시,볼링,"화, 목, 토, 일","이른 오전, 오전, 오후, 늦은 오후, 저녁",ENFJ
a274,무에타이,탁구,복싱,"월, 화, 목, 토","오전, 저녁",ESTJ
